Year_Month,Card_type,Travel_Mode,Trip
Aug-2017,Free Travel,Light Rail,840.0
Aug-2017,School Student,Light Rail,7008.0
Aug-2017,Senior/Pensioner,Light Rail,125345.0
Aug-2017,Sgl Trip LR Adult,Light Rail,4398.0
Aug-2017,Sgl Trip LR Child/Youth,Light Rail,905.0
Aug-2017,Adult,Train,25596844.0
Aug-2017,Child/Youth,Train,983919.0
Aug-2017,Concession,Train,2822581.0
Aug-2017,Day Pass Child/Youth w/o SAF,Train,9.0
Aug-2017,Day Pass without SAF,Train,18.0
Aug-2017,Employee,Train,316870.0
Aug-2017,Free Travel,Train,34768.0
Aug-2017,School Student,Train,1234164.0
